Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
KIND,"Manager, Prospect Research and Portfolio Optimization at KIND",https://jobs.lever.co/supportkind/a6a183bc-e770-45d8-85c9-77eb11a4548a,https://jobs.lever.co/supportkind/a6a183bc-e770-45d8-85c9-77eb11a4548a,404,HTTP 404
Loft Federal,Director of Government Affairs at Loft Federal,https://job-boards.greenhouse.io/loftfederal/jobs/4946201008,https://job-boards.greenhouse.io/loftfederal?error=true,200,Greenhouse redirect to ?error=true (job removed)
Loyal,Chief of Staff to the CEO at Loyal,https://boards.greenhouse.io/loyal36/jobs/4002754008,https://job-boards.greenhouse.io/loyal36?error=true,200,Greenhouse redirect to ?error=true (job removed)
Loyal,Fractional Chief Financial Officer at Loyal,https://job-boards.greenhouse.io/loyal36/jobs/4976871008,https://job-boards.greenhouse.io/loyal36?error=true,200,Greenhouse redirect to ?error=true (job removed)
Match Group,Director / Sr. Director - Strategy at Match Group,https://jobs.lever.co/matchgroup/fa635125-4e91-432f-be5b-b83eb4e190fc,https://jobs.lever.co/matchgroup/fa635125-4e91-432f-be5b-b83eb4e190fc,404,HTTP 404
Matte Projects,"Head of Strategy (On-site, Hybrid) at Matte Projects",https://job-boards.greenhouse.io/matteprojects/jobs/5427850004,https://job-boards.greenhouse.io/matteprojects?error=true,200,Greenhouse redirect to ?error=true (job removed)
Medier,Country Manager - Portugal at Medier,https://job-boards.greenhouse.io/medier/jobs/4668590101,https://job-boards.greenhouse.io/medier?error=true,200,Greenhouse redirect to ?error=true (job removed)
Netlify,"Partner Manager, Tech Partnerships (EMEA) at Netlify",https://boards.greenhouse.io/netlify/jobs/7064358002,https://job-boards.greenhouse.io/netlify?error=true,200,Greenhouse redirect to ?error=true (job removed)
New Relic,"Country Manager, Japan (Sales) at New Relic",https://job-boards.greenhouse.io/newrelic/jobs/4949013008,https://job-boards.greenhouse.io/newrelic?error=true,200,Greenhouse redirect to ?error=true (job removed)
Nex,Head of EMEA Supply Chain & Global Logistics Program Manager,https://job-boards.greenhouse.io/nex/jobs/5023907008,https://job-boards.greenhouse.io/nex?error=true,200,Greenhouse redirect to ?error=true (job removed)
Nextech,Director of Strategic Partnerships (Remote - United States) at Nextech,https://jobs.lever.co/nextech/fa8fd826-0554-4775-855f-a312c85f28b0,https://jobs.lever.co/nextech/fa8fd826-0554-4775-855f-a312c85f28b0,404,HTTP 404
Nithio,Head of Partnerships at Nithio,https://jobs.lever.co/Nithio/aaaa34d2-1409-4d9b-8d7e-c3ac30c285ed,https://jobs.lever.co/Nithio/aaaa34d2-1409-4d9b-8d7e-c3ac30c285ed,404,HTTP 404
Nord Security,Associate Country manager for LATAM Countries at Nord Security,https://jobs.lever.co/nordsec/348c9cbe-038b-4b75-9bc2-1ab197c5b039,https://jobs.lever.co/nordsec/348c9cbe-038b-4b75-9bc2-1ab197c5b039,404,HTTP 404
Ogury,Country Manager at Ogury,https://jobs.lever.co/ogury/39ba6f7b-179d-441e-92ac-a3f88a1a4848,https://jobs.lever.co/ogury/39ba6f7b-179d-441e-92ac-a3f88a1a4848,404,HTTP 404
Oklo,"Director of Business Development, Defense & National Security at Oklo",https://job-boards.greenhouse.io/oklo/jobs/5741264004,https://job-boards.greenhouse.io/oklo?error=true,200,Greenhouse redirect to ?error=true (job removed)
OpenX,Strategic Partnerships Director at OpenX,https://jobs.lever.co/openx/5f37505b-1cde-403c-96a6-410ef2f514d9,https://jobs.lever.co/openx/5f37505b-1cde-403c-96a6-410ef2f514d9,404,HTTP 404
OppLoans,"Director, Strategy & Operations at OppLoans",https://boards.greenhouse.io/opploans/jobs/4181141003,https://job-boards.greenhouse.io/opploans?error=true,200,Greenhouse redirect to ?error=true (job removed)
Owner,Strategic Operations Lead at Owner,https://jobs.lever.co/owner/b8ac203f-6e2b-4745-83b3-0832192c8ccd,https://jobs.lever.co/owner/b8ac203f-6e2b-4745-83b3-0832192c8ccd,404,HTTP 404
Pigment,Head of Partnerships EMEA at Pigment,https://jobs.lever.co/pigment/ddb30975-39f7-4f3c-b7bd-f4dece2d182f,https://jobs.lever.co/pigment/ddb30975-39f7-4f3c-b7bd-f4dece2d182f,404,HTTP 404
PolicyMe,Director of Partnerships (Remote) at PolicyMe,https://jobs.lever.co/policyme/cf5199e8-4ca6-41d6-8d31-48cb8cf3cca6,https://jobs.lever.co/policyme/cf5199e8-4ca6-41d6-8d31-48cb8cf3cca6,404,HTTP 404
Powdevs,Senior Account Executive / Head of Revenue (LATAM) at Powdevs,https://jobs.lever.co/powdevs/10d72254-caef-47fe-9707-b2c801c06079,https://jobs.lever.co/powdevs/10d72254-caef-47fe-9707-b2c801c06079,404,HTTP 404
Power Digital,"Director of Strategic Partnerships, Fusepoint at Power Digital",https://job-boards.greenhouse.io/powerdigitalmarketing/jobs/4560259007,https://job-boards.greenhouse.io/powerdigitalmarketing?error=true,200,Greenhouse redirect to ?error=true (job removed)
PPRO,"Director, Payment Partnerships, LatAm at PPRO",https://jobs.lever.co/ppro/fefb6a94-ced1-402d-816f-afcf1ba1bcd0,https://jobs.lever.co/ppro/fefb6a94-ced1-402d-816f-afcf1ba1bcd0,404,HTTP 404
PrestaShop,Head of Partnerships - Americas at PrestaShop,https://jobs.lever.co/prestashop/f6feae53-c880-4e14-b9d4-9ed7fde74628,https://jobs.lever.co/prestashop/f6feae53-c880-4e14-b9d4-9ed7fde74628,404,HTTP 404
Quantum Metric,Director of EMEA Channel Partnerships at Quantum Metric,https://jobs.lever.co/quantummetric/6f229fc2-53ee-4fcd-b376-d13c15eed443,https://jobs.lever.co/quantummetric/6f229fc2-53ee-4fcd-b376-d13c15eed443,404,HTTP 404
Quantum Metric,Director - EMEA Channel Partnerships at Quantum Metric,https://jobs.lever.co/quantummetric/9aeac004-8d1c-4c4e-ae6b-d68a65195b74,https://jobs.lever.co/quantummetric/9aeac004-8d1c-4c4e-ae6b-d68a65195b74,404,HTTP 404
RemoFirst,Strategic Customer Success Manager - AMERICAS at RemoFirst,https://jobs.lever.co/remofirst/f989e778-d156-4c6e-b70b-4ab604915ed1,https://jobs.lever.co/remofirst/f989e778-d156-4c6e-b70b-4ab604915ed1,404,HTTP 404
Remote,Payroll Operations Country Lead - Netherlands at Remote,https://job-boards.greenhouse.io/remotecom/jobs/7492595003,https://job-boards.greenhouse.io/remotecom?error=true,200,Greenhouse redirect to ?error=true (job removed)
Remote,"Manager, Onboarding Operations - EMEA at Remote",https://job-boards.greenhouse.io/remotecom/jobs/7614939003,https://job-boards.greenhouse.io/remotecom?error=true,200,Greenhouse redirect to ?error=true (job removed)
Saronic,Strategic Partnerships Manager at Saronic,https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,404,HTTP 404
Saronic,Director of Program Operations at Saronic,https://jobs.lever.co/saronic/204590df-9f01-4e3f-b616-5d5564188fc3,https://jobs.lever.co/saronic/204590df-9f01-4e3f-b616-5d5564188fc3,404,HTTP 404
Secureframe,Director of Partnerships at Secureframe,https://jobs.lever.co/secureframe/89f79a98-cc12-4f57-bc5f-55607c5e8e44,https://jobs.lever.co/secureframe/89f79a98-cc12-4f57-bc5f-55607c5e8e44,404,HTTP 404
